Condition numbers diagonal scaling algorithm 1 for precision 1 
8 & 1.98e+10 & 6.64e+05 & 6.59e+05 & 6.19e+01\\ 
9 & 3.78e+12 & 4.92e+06 & 4.86e+06 & 1.90e+03\\ 
10 & 5.44e+06 & 8.16e+04 & 7.86e+04 & 1.62e+00\\ 
11 & 2.53e+07 & 1.27e+06 & 9.82e+05 & 2.71e+02\\ 
12 & 2.92e+04 & 7.78e+03 & 6.53e+03 & 2.57e+00\\ 
13 & 1.08e+14 & 2.18e+09 & 2.18e+09 & 1.08e+06\\ 


Condition numbers rank1 scaling algorithm 1 for precision 2 
1 & 1.05e+12 & 1.35e+12 & 8.86e+11 & 1.33e+08\\ 
2 & 6.76e+10 & 6.19e+10 & 5.92e+10 & 5.46e+09\\ 
3 & 2.49e+06 & 6.03e+06 & 4.61e+06 & 4.63e+00\\ 
4 & 1.59e+09 & 2.01e+09 & 1.94e+09 & 7.87e+02\\ 
5 & 3.11e+07 & 5.53e+07 & 5.52e+07 & 2.69e+08\\ 
6 & 7.64e+10 & 5.00e+10 & 4.58e+10 & 3.62e+07\\ 
7 & 1.33e+10 & 5.31e+08 & 5.28e+08 & 4.26e+03\\ 
8 & 1.98e+10 & 2.97e+09 & 2.97e+09 & 1.57e+01\\ 
9 & 3.78e+12 & 1.07e+12 & 8.02e+11 & 9.87e+03\\ 
10 & 5.44e+06 & 7.33e+05 & 5.33e+05 & 2.82e+01\\ 
11 & 2.53e+07 & 9.34e+06 & 2.19e+07 & 9.09e+00\\ 
12 & 2.92e+04 & 2.90e+04 & 3.65e+04 & 3.63e+00\\ 
13 & 1.08e+14 & 9.08e+13 &    Inf &    NaN\\ 


Condition numbers rank1 scaling algorithm 2 for precision 2 
1 & 1.05e+12 & 9.54e+06 & 9.55e+06 & 2.07e+04\\ 
2 & 6.76e+10 & 2.35e+06 & 2.34e+06 & 1.55e+03\\ 
3 & 2.49e+06 & 8.22e+03 & 9.40e+03 & 1.82e+00\\ 
4 & 1.59e+09 & 2.16e+05 & 1.28e+04 & 5.00e+01\\ 
